C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.14CEST22:27:39

 IdentList
----------

 # ;typed ident;            identifier             ;typ;             all types             ;     coord1 (ICRS,J2000/2000)      ;      coord4 (Gal,J2000/2000)      ;        pm         ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;morph. type;#bib;#not
---;-----------;-----------------------------------;---;-----------------------------------;-----------------------------------;-----------------------------------;-------------------;-------;---------;------------;----------;------;------;------;------;------;---------------;-----------;----;----
41 ;HD 190228  ;HD 190228                          ;PM*;*,PM*,IR                           ;300.7532200405575 +28.3068569258650;065.9934685860531 -01.4054626555748;104.146 -69.806    ;  15.92;-50.11   ;-0.000167   ;-50.11    ;     ~; 8.094; 7.296;     ~;     ~;G5IV           ;~ ~ ~      ; 151;   1
42 ;HD 29021   ;HD 29021                           ;PM*;*,PM*,IR                           ;069.4675890535271 +60.6761994209225;147.3933088458861 +09.0717888644858;  62.433 23.014    ;  32.24;0.44     ;0.000001    ;0.44      ;     ~; 8.45 ; 7.76 ;     ~;     ~;G5             ;~ ~ ~      ;  23;   0
43 ;HD 90156   ;HD 90156                           ;PM*;*,PM*,PM*,PM*,V*,IR                ;155.9803080728416 -29.6455296162253;268.3726674773305 +23.1520683284975; -39.090 99.076    ;  45.53;26.96    ;0.000090    ;26.96     ; 7.758; 7.603; 6.920; 6.534; 6.189;G5V            ;~ ~ ~      ; 103;   1
44 ;HD 189567  ;HD 189567                          ;PM*;*,PM*,IR,UV                        ;301.3865218199929 -67.3208969062228;328.4656838851282 -31.9895074290251;845.346 -674.028   ;  55.82;-10.55   ;-0.000035   ;-10.55    ; 6.79 ; 6.71 ; 6.07 ;     ~;     ~;G2V            ;~ ~ ~      ; 197;   1
45 ;HD 106315  ;HD 106315                          ;*  ;*,IR                               ;183.4724856642279 -00.3934873306956;283.2504154868656 +61.0352990307197;  -2.662 11.988    ;   9.12;-2.78    ;-0.000009   ;-2.78     ;     ~; 9.402; 8.951;     ~;     ~;F5V            ;~ ~ ~      ;  20;   0
46 ;BD+15 2375 ;BD+15 2375                         ;*  ;*,IR                               ;176.4821506155712 +14.6163685296997;249.0022368415451 +70.2725659574799;-28.470 -11.683    ;   1.27;-9.65    ;-0.000032   ;-9.65     ;     ~;11.3  ;10.3  ;     ~;     ~;~              ;~ ~ ~      ;   7;   0
47 ;HD 7924    ;HD 7924                            ;*  ;*,*,*,IR                           ;020.4963050876571 +76.7102881446778;124.7356975554411 +13.9456404347091;-34.643 -32.660    ;  58.82;-22.62   ;-0.000075   ;-22.62    ;     ~; 8.018; 7.167;     ~;     ~;K0.5V          ;~ ~ ~      ; 114;   1
48 ;HD 38858   ;HD 38858                           ;PM*;*,*,PM*,PM*,IR,UV                  ;087.1455839388217 -04.0946443137239;209.3781026940964 -15.8418419995940;61.537 -229.454    ;  65.55;31.46    ;0.000105    ;31.46     ; 6.71 ; 6.61 ; 5.97 ;     ~;     ~;G2V            ;~ ~ ~      ; 255;   1
49 ;HD 262389  ;HD 262389                          ;*  ;*,*,IR                             ;100.8480532715317 +27.2522811613594;187.5374890151043 +10.4297073310838; -8.161 -22.954    ;   3.09;36.03    ;0.000120    ;36.03     ;     ~;11.35 ;10.80 ;     ~; 9.919;F8             ;~ ~ ~      ;  16;   0
50 ;HD 81688   ;* 41 Lyn                           ;PM*;**,*,PM*,IR                        ;142.1666202459888 +45.6014820155994;174.2266032379440 +46.0748816958852;-7.297 -129.582    ;  11.64;38.57    ;0.000129    ;38.57     ;     ~; 6.389; 5.393; 6.54 ;     ~;K0III          ;~ ~ ~      ;  64;   1
