recno,Name,FWHM,l_A(Li),A(Li),e_A(Li),dA(Li),Cat,_RA,_DE
132,"HD 19632",0.163, ,1.94,0.04,0.11,2,47.21852,-24.88765
133,"HD 20029",0.261, ,2.69,0.02,0.1,2,47.96908,-39.02322
134,"HD 20201",0.198, ,2.74,0.03,0.11,2,48.22658,-47.15523
135,"HD 20630",0.224, ,2.1,0.04,0.11,2,49.8404,3.3702
136,"HD 20794",0.14,<,0.58,,,2,49.98188,-43.06978
137,"HD 22104",0.159, ,1.21,0.5,0.51,2,51.90491,-73.43957
138,"HD 22484",0.224, ,2.54,0.04,0.11,2,54.21826,0.40166
139,"HD 25587",0.265, ,2.12,0.05,0.11,2,60.67812,-27.48355
140,"HD 25680",0.192, ,2.51,0.02,0.1,2,61.33441,22.0089
141,"HD 30876",0.177,<,0.2,,,2,72.46805,-35.10763
142,"HD 31527",0.152, ,1.83,0.05,0.11,2,73.90993,-23.24188
143,"HD 36435",0.198, ,1.49,0.05,0.11,1,81.91397,-60.416
144,"HD 36889",0.177, ,2.91,0.02,0.1,2,83.08569,-47.47523
145,"HD 38283",0.159, ,2.24,0.03,0.11,2,84.25841,-73.69934
146,"HD 38382",0.182, ,2.64,0.03,0.11,2,86.11831,-20.12657
147,"HD 38973",0.215, ,2.35,0.04,0.11,2,86.61663,-53.21933
148,"HD 39213",0.165,<,0.58,,,2,87.31869,-37.51334
149,"HD 39587",0.296, ,2.9,0.02,0.1,2,88.59576,20.27617
150,"HD 42024",0.222, ,2.86,0.03,0.11,2,91.54826,-45.81598
151,"HD 43042",0.302,<,1.42,,,2,93.71198,19.15644
152,"HD 45701",0.161, ,1.07,0.82,0.83,2,96.11081,-63.42893
153,"HD 51929",0.162, ,1.19,0.17,0.2,2,103.97173,-56.94241
154,"HD 52447",0.234, ,2.65,0.03,0.11,2,104.35991,-60.85143
155,"HD 55693",0.19, ,1.36,0.19,0.22,2,108.26114,-24.22558
156,"HD 64184",0.16,<,0.75,,,2,117.36104,-59.38084
157,"HD 65907",0.14,<,0.73,,,2,119.44547,-60.30307
158,"HD 73524",0.18, ,2.46,0.02,0.1,2,129.33331,-40.14766
159,"HD 76151",0.155, ,1.77,0.05,0.11,2,133.57478,-5.43446
160,"HD 78429",0.205,<,0.64,,,2,136.66179,-43.49198
161,"HD 80913",0.196, ,2.35,0.04,0.11,2,138.10456,-81.76855
162,"HD 84117",0.208, ,2.52,0.03,0.11,2,145.56007,-23.91557
163,"HD 86819",0.203, ,2.29,0.03,0.11,2,150.02466,-36.04324
164,"HD 88742",0.174, ,2.27,0.03,0.11,2,153.35304,-33.03172
165,"HD 92987",0.161, ,1.95,0.04,0.11,2,160.90111,-39.05843
166,"HD 93385",0.198, ,2.07,0.04,0.11,2,161.56298,-41.46437
167,"HD 96423",0.17, ,1.87,0.04,0.11,2,166.58227,-44.37332
168,"HD 102365",0.14,<,0.52,,,2,176.62947,-40.50035
169,"HD 102438",0.144,<,0.62,,,2,176.81587,-30.28651
170,"HD 102870",0.192, ,1.99,0.13,0.17,2,177.67383,1.76472
171,"HD 105328",0.197, ,2.57,0.02,0.1,2,181.91266,-23.97587
172,"HD 106453",0.165, ,1.34,0.09,0.14,2,183.67549,-24.77518
173,"HD 107692",0.179, ,2.23,0.03,0.11,2,185.6867,-39.17768
174,"HD 108309",0.155, ,1.11,0.28,0.3,2,186.70059,-48.91319
175,"HD 109200",0.162,<,-0.14,,,2,188.38076,-68.75581
176,"HD 110810",0.18,<,-0.19,,,2,191.31006,-57.358
177,"HD 114853",0.15,<,0.67,,,2,198.46761,-45.1858
178,"HD 115383",0.262, ,2.84,0.02,0.1,2,199.19382,9.42416
179,"HD 115617",0.175,<,0.22,,,2,199.60131,-18.3112
180,"HD 115585",0.155,<,0.85,,,2,199.96079,-70.85502
