recno,Star,S/N,pop,[CuI/Fe],e_[CuI/Fe],o_[CuI/Fe],[ZnI/Fe],e_[ZnI/Fe],o_[ZnI/Fe],[SrI/Fe],e_[SrI/Fe],o_[SrI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[ZrI/Fe],e_[ZrI/Fe],o_[ZrI/Fe],[ZrII/Fe],e_[ZrII/Fe],o_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[CeII/Fe],e_[CeII/Fe],o_[CeII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe],[AlI/Fe],e_[AlI/Fe],o_[AlI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe]
941,"   HD11226",672," thin",-0.01,0.03,4,-0.01,0.02,3,-0.03,0.02,1,-0.06,0.03,6,,,0,-0.1,0.04,4,-0.07,0.03,3,-0.11,0.02,4,-0.15,0.04,4,-0.08,0.06,1,-0.03,0.0,2,0.02,0.01,3,0.02,0.01,14,0.02,0.05,12,-0.02,0.02,22,-0.03,0.01,5
942,"  HD144846",92," thin",-0.05,0.03,4,-0.07,0.03,3,0.01,0.09,1,0.02,0.05,6,0.39,0.1,1,-0.01,0.05,4,-0.03,0.02,3,-0.03,0.04,4,-0.11,0.1,4,,,0,-0.16,0.08,2,0.01,0.02,3,-0.03,0.04,14,0.0,0.06,12,0.0,0.04,22,-0.06,0.01,5
943,"  HD176666",148," thin",-0.13,0.05,4,-0.08,0.03,3,-0.02,0.08,1,0.0,0.05,6,,,0,0.06,0.05,4,0.13,0.03,3,0.15,0.04,3,0.15,0.06,4,,,0,-0.11,0.07,2,0.09,0.05,3,0.05,0.04,14,0.12,0.07,12,0.07,0.05,21,0.08,0.03,5
944,"  HD197536",203," thin",-0.06,0.08,4,-0.06,0.03,3,-0.04,0.06,1,-0.09,0.08,6,,,0,-0.09,0.04,4,-0.03,0.04,3,-0.08,0.09,4,0.0,0.08,4,0.16,0.19,1,0.0,0.05,2,0.12,0.04,3,0.07,0.03,14,0.13,0.05,12,0.12,0.04,21,0.12,0.03,5
945,"   HD67200",170," thin",0.04,0.03,4,-0.01,0.07,3,-0.11,0.06,1,-0.06,0.07,6,,,0,-0.12,0.03,4,-0.19,0.03,3,-0.1,0.06,4,-0.18,0.02,4,,,0,-0.02,0.01,2,-0.07,0.07,3,0.01,0.12,14,-0.04,0.06,12,-0.02,0.03,22,-0.05,0.01,5
946,"   HD38772",109," thin",-0.05,0.06,4,-0.04,0.03,3,-0.05,0.09,1,-0.11,0.02,6,,,0,-0.05,0.05,4,0.01,0.05,3,-0.08,0.08,4,0.0,0.04,4,,,0,-0.02,0.02,2,0.1,0.05,3,0.05,0.07,14,0.12,0.16,12,0.05,0.05,22,0.04,0.01,5
947,"   HD24062",110," thin",-0.01,0.08,4,-0.13,0.03,3,0.03,0.11,1,0.03,0.05,6,0.28,0.2,3,0.09,0.1,4,-0.01,0.08,3,0.01,0.07,4,0.04,0.07,4,,,0,-0.32,0.24,2,-0.07,0.11,3,-0.02,0.07,14,0.02,0.13,12,0.04,0.04,22,0.04,0.01,5
948,"  HD221356",853," thin",-0.11,0.06,4,-0.13,0.02,3,0.03,0.04,1,-0.01,0.04,6,,,0,0.0,0.07,4,0.11,0.03,3,0.07,0.11,4,0.09,0.06,4,0.1,0.05,1,-0.04,0.0,2,0.08,0.05,3,0.03,0.01,14,0.11,0.06,12,0.1,0.03,20,0.06,0.01,5
949,"  HD84627B",134," thin",-0.05,0.07,4,-0.02,0.02,3,-0.01,0.08,1,-0.02,0.03,6,,,0,0.02,0.07,4,0.13,0.03,3,0.03,0.05,4,0.07,0.07,4,,,0,-0.08,0.04,2,0.04,0.03,3,0.01,0.05,14,0.09,0.07,12,0.04,0.05,21,0.04,0.02,5
950,"  HD209458",347," thin",0.17,0.06,3,-0.06,0.11,3,0.01,0.04,1,0.14,0.17,6,,,0,0.05,0.06,4,0.03,0.03,2,0.0,0.06,3,0.01,0.02,2,0.28,0.06,1,0.01,0.06,2,0.09,0.17,3,0.1,0.21,14,0.25,0.38,12,0.06,0.23,20,-0.04,0.05,4
