recno,Star,S/N,pop,[CuI/Fe],e_[CuI/Fe],o_[CuI/Fe],[ZnI/Fe],e_[ZnI/Fe],o_[ZnI/Fe],[SrI/Fe],e_[SrI/Fe],o_[SrI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[ZrI/Fe],e_[ZrI/Fe],o_[ZrI/Fe],[ZrII/Fe],e_[ZrII/Fe],o_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[CeII/Fe],e_[CeII/Fe],o_[CeII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe],[AlI/Fe],e_[AlI/Fe],o_[AlI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe]
563,"  HD202605",291," thin",0.0,0.03,4,-0.05,0.06,3,0.02,0.05,1,-0.02,0.03,6,0.16,0.14,2,-0.04,0.02,4,-0.03,0.03,3,-0.05,0.02,4,-0.01,0.08,4,-0.02,0.12,1,0.0,0.01,2,-0.03,0.01,3,-0.02,0.03,14,0.03,0.09,12,0.03,0.03,22,-0.02,0.02,5
564,"    HD4915",780," thin",-0.08,0.03,4,-0.02,0.02,3,0.04,0.02,1,0.01,0.03,6,-0.24,0.1,1,0.05,0.02,4,0.09,0.01,3,0.11,0.04,4,0.13,0.05,4,0.11,0.05,1,0.02,0.0,2,0.05,0.04,3,0.02,0.01,14,0.05,0.06,12,0.07,0.01,22,0.03,0.01,5
565,"   HD91345",160,"thick",-0.29,0.05,3,0.15,0.07,3,0.25,0.07,1,0.31,0.05,6,,,0,0.55,0.06,4,0.31,0.06,3,0.32,0.08,2,0.27,0.06,4,0.44,0.32,1,0.16,0.01,2,0.35,0.05,3,0.37,0.04,14,0.32,0.09,12,0.28,0.08,22,0.28,0.03,5
566,"   HD28821",491," thin",-0.05,0.04,4,0.0,0.02,3,-0.11,0.02,1,-0.1,0.02,6,0.14,0.1,1,-0.06,0.02,4,-0.01,0.01,3,0.03,0.06,4,0.03,0.03,4,0.08,0.08,1,0.11,0.0,2,0.09,0.01,3,0.03,0.01,14,0.06,0.06,12,0.09,0.02,22,0.07,0.02,5
567,"  HD186302",72," thin",-0.03,0.03,4,0.06,0.03,3,0.08,0.14,1,0.02,0.03,6,0.33,0.23,2,0.03,0.03,4,0.01,0.01,3,0.04,0.05,4,0.08,0.07,4,,,0,0.02,0.04,2,0.01,0.03,3,0.0,0.05,13,0.03,0.05,12,0.04,0.03,22,0.0,0.04,5
568,"  HD136352",881,"thick",0.03,0.02,4,0.17,0.02,3,-0.11,0.02,1,-0.1,0.04,6,,,0,-0.03,0.02,4,-0.08,0.02,3,-0.08,0.08,4,0.07,0.05,4,0.21,0.05,1,0.22,0.01,2,0.22,0.04,3,0.14,0.01,14,0.13,0.05,12,0.2,0.03,22,0.16,0.02,5
569,"  HD150433",652,"thick",0.04,0.02,4,0.17,0.02,3,-0.08,0.02,1,-0.1,0.04,6,,,0,-0.02,0.01,4,-0.11,0.02,3,-0.1,0.05,4,0.05,0.03,4,0.23,0.06,1,0.26,0.01,2,0.25,0.04,3,0.17,0.01,14,0.16,0.06,12,0.25,0.05,22,0.24,0.01,5
570,"  HD111777",309,"thick",-0.08,0.03,3,0.15,0.03,3,-0.08,0.04,1,-0.09,0.03,6,,,0,0.09,0.04,4,-0.06,0.04,3,-0.08,0.08,4,0.08,0.02,4,0.36,0.16,1,0.22,0.01,2,0.3,0.08,3,0.21,0.02,14,0.23,0.05,12,0.25,0.05,22,0.24,0.02,5
571,"  HD207700",544," high",0.09,0.04,4,0.09,0.04,3,-0.11,0.03,1,-0.12,0.03,6,0.12,0.03,1,-0.1,0.03,4,-0.08,0.01,3,-0.01,0.05,4,0.04,0.04,4,0.04,0.05,1,0.16,0.0,2,0.11,0.02,3,0.06,0.03,14,0.04,0.04,12,0.1,0.02,22,0.09,0.02,5
572,"   HD22177",194," thin",0.12,0.04,4,0.02,0.07,3,-0.12,0.05,1,-0.1,0.04,6,0.08,0.21,2,-0.1,0.03,4,-0.08,0.02,3,0.0,0.03,4,0.01,0.04,4,,,0,0.07,0.0,2,0.06,0.02,3,0.03,0.03,14,-0.03,0.05,12,0.03,0.02,22,0.05,0.03,5
573,"  HD117207",252," thin",0.07,0.02,4,0.0,0.05,3,-0.08,0.05,1,-0.07,0.03,6,-0.18,0.17,2,-0.1,0.03,4,-0.1,0.04,3,-0.04,0.05,4,-0.05,0.06,4,0.04,0.1,1,0.03,0.01,2,0.01,0.01,3,0.01,0.05,14,-0.05,0.04,11,0.0,0.04,22,-0.02,0.02,5
574,"   HD28185",585," thin",0.1,0.06,4,0.03,0.06,3,-0.04,0.04,1,-0.05,0.03,6,0.13,0.19,2,-0.07,0.05,4,-0.12,0.04,3,-0.04,0.04,4,-0.04,0.1,4,0.01,0.03,1,0.07,0.02,2,0.03,0.01,3,0.03,0.05,14,-0.04,0.05,12,0.03,0.03,22,0.0,0.04,5
575,"   HD70642",158," thin",0.07,0.04,4,0.06,0.07,3,-0.05,0.07,1,-0.03,0.03,6,0.14,0.19,3,-0.07,0.03,4,-0.08,0.02,3,-0.09,0.04,4,-0.17,0.08,4,,,0,0.04,0.0,2,0.06,0.13,3,0.01,0.02,14,-0.01,0.08,12,-0.01,0.02,22,-0.02,0.02,5
576,"  HD131183",194," high",0.08,0.02,4,0.06,0.05,3,-0.12,0.05,1,-0.07,0.06,6,0.04,0.26,3,-0.07,0.01,4,-0.05,0.03,3,0.03,0.01,4,0.04,0.04,4,,,0,0.12,0.01,2,0.1,0.01,3,0.04,0.02,14,0.01,0.06,12,0.08,0.02,22,0.09,0.01,5
577,"  HD171028",835," thin",-0.07,0.06,4,-0.03,0.03,3,-0.07,0.02,1,-0.02,0.05,6,,,0,-0.03,0.04,4,0.07,0.03,3,0.05,0.1,4,0.08,0.05,4,0.14,0.05,1,0.02,0.0,2,0.11,0.01,3,0.08,0.02,14,0.09,0.05,12,0.07,0.03,22,0.1,0.02,5
578,"  HD213575",556," high",0.08,0.03,4,0.14,0.03,3,-0.08,0.02,1,-0.08,0.02,6,,,0,-0.04,0.02,4,-0.07,0.01,3,-0.02,0.08,4,0.05,0.01,4,0.05,0.05,1,0.22,0.0,2,0.2,0.03,3,0.13,0.01,14,0.12,0.06,12,0.19,0.02,22,0.18,0.01,5
579,"  HD134088",311,"thick",-0.12,0.03,3,0.13,0.03,3,-0.04,0.04,1,-0.07,0.04,6,,,0,0.1,0.04,4,-0.05,0.04,3,-0.03,0.06,4,0.1,0.05,4,0.32,0.16,1,0.21,0.0,2,0.31,0.06,3,0.21,0.04,14,0.24,0.05,12,0.25,0.05,22,0.26,0.02,5
580,"   HD47186",1344," thin",0.13,0.03,4,0.03,0.06,3,-0.03,0.03,1,-0.06,0.03,6,0.11,0.18,3,-0.08,0.04,4,-0.15,0.03,3,-0.07,0.04,4,-0.08,0.1,4,-0.02,0.03,1,0.05,0.01,2,0.05,0.03,3,0.03,0.04,14,-0.05,0.06,12,0.02,0.02,22,-0.02,0.02,5
581,"  HD157347",574," thin",-0.01,0.04,4,-0.05,0.04,3,-0.03,0.03,1,-0.06,0.02,6,-0.03,0.22,1,-0.07,0.03,4,-0.04,0.02,3,-0.02,0.03,4,0.01,0.03,4,0.03,0.06,1,0.06,0.0,2,0.02,0.0,3,0.0,0.01,14,0.02,0.05,12,0.03,0.01,22,0.01,0.02,5
582,"  HD195564",635," thin",0.0,0.04,4,-0.01,0.04,3,-0.17,0.02,1,-0.1,0.06,6,0.12,0.23,2,-0.14,0.03,4,-0.06,0.01,3,-0.05,0.04,4,-0.07,0.02,4,-0.12,0.04,1,0.05,0.0,2,0.06,0.01,3,0.01,0.02,14,0.03,0.05,12,0.03,0.02,22,0.03,0.03,5
583,"  HD101644",188," thin",-0.05,0.04,4,-0.01,0.05,3,-0.06,0.05,1,0.0,0.06,6,,,0,0.03,0.06,4,0.14,0.05,3,0.05,0.08,4,0.11,0.07,4,,,0,0.01,0.01,2,0.08,0.03,3,0.05,0.03,14,0.09,0.06,12,0.07,0.04,22,0.04,0.03,5
584,"    HD1320",338," thin",-0.09,0.03,4,0.01,0.01,3,0.01,0.03,1,-0.01,0.02,6,0.14,0.36,2,0.05,0.03,4,0.08,0.01,3,0.04,0.06,4,0.08,0.02,4,0.1,0.12,1,0.0,0.0,2,0.04,0.02,3,0.02,0.01,14,0.04,0.05,12,0.04,0.02,22,0.02,0.02,5
585,"  HD106116",928," thin",0.04,0.05,4,0.0,0.04,3,-0.03,0.02,1,-0.06,0.02,6,0.12,0.16,2,-0.08,0.02,4,-0.08,0.01,3,-0.03,0.02,4,-0.03,0.04,4,-0.05,0.04,1,0.04,0.0,2,0.02,0.01,3,0.0,0.02,14,-0.01,0.05,12,0.02,0.02,22,-0.01,0.01,5
586,"  HD125184",269," thin",0.06,0.04,4,-0.04,0.07,3,-0.19,0.05,1,-0.1,0.08,6,0.29,0.31,3,-0.17,0.03,4,-0.12,0.02,3,-0.07,0.06,4,-0.06,0.03,4,0.08,0.09,1,0.03,0.01,2,0.03,0.03,3,0.0,0.02,14,-0.04,0.04,12,0.0,0.02,22,0.02,0.05,5
587,"  HD212708",1033," thin",0.13,0.04,4,0.02,0.07,3,-0.05,0.04,1,-0.06,0.03,6,0.16,0.18,2,-0.13,0.05,4,-0.14,0.03,3,-0.02,0.03,4,-0.04,0.09,4,-0.08,0.04,1,0.06,0.01,2,0.03,0.02,3,0.01,0.06,14,-0.05,0.06,12,0.02,0.04,22,-0.02,0.02,5
588,"   HD39427",196," thin",-0.1,0.04,4,0.01,0.03,3,0.08,0.05,1,0.04,0.03,6,-0.16,0.1,1,0.11,0.03,4,0.15,0.02,3,0.16,0.06,4,0.16,0.03,4,,,0,-0.03,0.01,2,-0.01,0.01,3,0.0,0.03,14,0.04,0.11,12,0.04,0.02,22,0.0,0.01,5
589,"   HD97783",227,"thick",-0.13,0.03,3,0.17,0.05,3,0.06,0.05,1,-0.01,0.04,6,,,0,0.19,0.03,4,-0.06,0.03,3,-0.12,0.07,4,0.03,0.08,4,,,0,0.23,0.0,2,0.33,0.07,3,0.23,0.02,14,0.24,0.05,12,0.29,0.04,22,0.32,0.02,5
590,"   HD10895",139," thin",-0.14,0.05,4,-0.05,0.02,3,0.03,0.07,1,0.03,0.03,6,-0.21,0.1,1,0.03,0.02,4,0.17,0.02,3,0.12,0.05,4,0.09,0.04,4,,,0,-0.13,0.05,2,0.02,0.02,3,-0.02,0.03,14,0.09,0.06,12,0.05,0.03,22,-0.03,0.03,5
591,"  HD121004",178," halo",-0.13,0.03,3,0.17,0.06,3,0.1,0.06,1,0.06,0.02,6,,,0,0.27,0.08,4,0.02,0.03,3,-0.03,0.05,4,0.11,0.04,4,,,0,0.22,0.03,2,0.35,0.04,3,0.25,0.02,14,0.29,0.05,12,0.29,0.05,22,0.3,0.03,5
592,"  HD212036",151," thin",-0.03,0.02,4,-0.01,0.04,3,-0.02,0.06,1,0.01,0.05,6,0.04,0.18,3,-0.01,0.04,4,0.0,0.01,3,-0.03,0.03,4,-0.03,0.05,4,,,0,0.04,0.0,2,0.0,0.01,3,0.0,0.02,14,-0.01,0.05,12,-0.01,0.02,22,-0.02,0.02,5
593,"    HD8930",68," thin",-0.1,0.05,4,-0.1,0.07,3,0.03,0.14,1,0.01,0.03,6,-0.25,0.1,1,0.03,0.1,4,0.17,0.03,3,0.16,0.03,4,0.08,0.04,4,,,0,-0.08,0.08,2,-0.05,0.04,3,-0.03,0.04,14,0.03,0.06,12,0.06,0.06,22,0.02,0.03,5
594,"   HD16548",411," thin",-0.03,0.05,4,-0.1,0.05,3,0.0,0.04,1,0.02,0.06,6,0.21,0.2,2,-0.06,0.02,4,-0.03,0.02,3,0.01,0.05,4,-0.04,0.04,4,-0.03,0.02,1,0.07,0.0,2,0.04,0.03,3,0.0,0.02,14,0.04,0.04,12,0.04,0.02,22,0.04,0.02,5
595,"  HD104982",409," thin",-0.02,0.04,4,0.01,0.02,3,-0.08,0.02,1,-0.09,0.03,6,,,0,-0.05,0.01,4,-0.05,0.06,3,0.0,0.03,4,0.01,0.01,4,0.19,0.1,1,0.06,0.0,2,0.07,0.02,3,0.02,0.01,14,0.04,0.05,12,0.05,0.02,22,0.02,0.01,5
596,"   HD71334",379," thin",-0.02,0.02,4,0.0,0.03,3,-0.1,0.03,1,-0.12,0.02,6,,,0,-0.08,0.02,4,-0.08,0.02,3,-0.05,0.01,4,-0.03,0.01,4,-0.05,0.11,1,0.06,0.0,2,0.07,0.01,3,0.03,0.01,14,0.05,0.05,12,0.06,0.02,22,0.02,0.02,5
597,"    HD8038",58," thin",-0.04,0.05,4,-0.09,0.05,3,0.07,0.16,1,0.04,0.04,6,0.12,0.12,3,0.09,0.06,4,0.04,0.03,3,-0.07,0.09,4,-0.03,0.06,4,,,0,-0.04,0.04,2,-0.03,0.04,3,-0.02,0.06,14,0.0,0.07,12,0.02,0.02,22,-0.03,0.01,5
598,"  HD104800",235,"thick",-0.17,0.05,3,0.14,0.04,3,0.07,0.05,1,0.05,0.05,6,,,0,0.25,0.05,4,0.02,0.04,3,-0.03,0.05,4,0.04,0.04,4,0.27,0.2,1,0.24,0.01,2,0.34,0.04,3,0.25,0.03,14,0.29,0.05,12,0.27,0.04,22,0.27,0.03,5
599,"  HD220507",725," high",0.09,0.04,4,0.09,0.04,3,-0.1,0.02,1,-0.11,0.03,6,-0.13,0.34,2,-0.09,0.03,4,-0.08,0.01,3,-0.01,0.06,4,0.02,0.04,4,0.05,0.05,1,0.16,0.0,2,0.12,0.02,3,0.07,0.02,14,0.05,0.04,12,0.11,0.01,22,0.1,0.03,5
600,"  HD116259",174," high",0.09,0.02,4,0.05,0.02,3,-0.11,0.06,1,-0.09,0.04,6,0.17,0.22,1,-0.08,0.02,4,-0.07,0.01,3,-0.06,0.04,4,0.0,0.04,4,,,0,0.13,0.0,2,0.13,0.01,3,0.03,0.03,14,0.01,0.06,12,0.08,0.02,22,0.06,0.02,5
601,"   HD12387",958,"thick",0.08,0.02,4,0.19,0.04,3,-0.08,0.02,1,-0.09,0.03,6,,,0,-0.04,0.02,4,-0.07,0.03,3,-0.07,0.08,4,0.06,0.04,4,0.14,0.04,1,0.22,0.0,2,0.19,0.03,3,0.13,0.01,14,0.13,0.07,12,0.19,0.04,22,0.18,0.03,5
602,"   HD20619",697," thin",-0.09,0.03,4,-0.01,0.02,3,0.03,0.02,1,0.02,0.02,6,,,0,0.05,0.01,4,0.09,0.02,3,0.13,0.04,4,0.11,0.02,4,0.06,0.07,1,0.02,0.02,2,0.03,0.03,3,0.0,0.03,14,0.04,0.06,12,0.05,0.02,22,0.01,0.01,5
603,"  HD114853",1124," thin",-0.06,0.02,4,0.0,0.01,3,-0.14,0.02,1,-0.12,0.03,6,,,0,-0.07,0.02,4,-0.04,0.01,3,-0.01,0.03,4,0.02,0.01,4,0.06,0.04,1,0.07,0.01,2,0.09,0.03,3,0.03,0.02,14,0.07,0.06,12,0.07,0.02,22,0.04,0.02,5
604,"  HD115902",98," thin",-0.02,0.03,4,-0.02,0.02,3,-0.02,0.1,1,-0.01,0.05,6,0.26,0.18,1,-0.02,0.03,4,0.01,0.02,3,-0.05,0.03,4,-0.01,0.05,4,,,0,0.04,0.01,2,0.03,0.03,3,0.01,0.09,14,0.02,0.08,12,0.02,0.03,22,0.01,0.01,5
605,"   HD66428",106," thin",0.13,0.03,4,0.03,0.02,3,-0.06,0.1,1,-0.1,0.05,6,0.05,0.14,3,-0.07,0.03,4,-0.14,0.03,3,-0.11,0.05,4,-0.09,0.06,4,,,0,0.08,0.01,2,0.14,0.23,3,0.06,0.11,14,0.0,0.08,12,0.01,0.03,22,-0.04,0.04,5
606,"  HD142879",83," thin",-0.09,0.04,4,-0.03,0.02,3,0.0,0.12,1,-0.01,0.05,6,0.37,0.22,1,0.09,0.06,4,0.15,0.03,3,0.17,0.07,4,0.04,0.04,3,,,0,0.0,0.01,2,0.04,0.02,3,0.05,0.04,14,0.08,0.05,11,0.05,0.04,22,0.02,0.06,5
607,"   HD28701",654,"thick",0.03,0.04,4,0.18,0.02,3,0.29,0.02,1,0.22,0.03,6,-0.03,0.1,1,0.23,0.03,4,0.15,0.03,3,0.16,0.08,4,0.2,0.02,4,0.3,0.06,1,0.24,0.01,2,0.24,0.03,3,0.17,0.01,14,0.2,0.06,12,0.23,0.03,22,0.24,0.01,5
608,"  HD115585",339," thin",0.16,0.06,4,0.01,0.08,3,-0.15,0.04,1,-0.06,0.07,6,0.15,0.2,3,-0.12,0.03,4,-0.18,0.08,3,0.02,0.04,4,-0.01,0.05,4,-0.01,0.08,1,0.05,0.01,2,0.05,0.02,3,0.0,0.05,14,-0.09,0.04,12,0.0,0.04,22,0.02,0.02,5
609,"   HD78558",425,"thick",0.01,0.04,4,0.22,0.03,3,-0.01,0.03,1,-0.05,0.03,6,,,0,0.07,0.03,4,-0.09,0.02,3,-0.09,0.06,4,0.07,0.01,4,0.26,0.09,1,0.28,0.0,2,0.29,0.04,3,0.21,0.01,14,0.21,0.05,12,0.27,0.03,22,0.27,0.01,5
610,"   HD90722",115," thin",0.12,0.04,4,0.0,0.02,3,-0.14,0.1,1,-0.03,0.06,6,0.01,0.15,3,-0.07,0.04,4,-0.14,0.04,3,0.03,0.05,4,-0.08,0.06,4,,,0,0.07,0.04,2,0.03,0.02,3,0.03,0.05,14,0.0,0.08,12,-0.02,0.03,22,-0.01,0.04,5
611,"   HD96423",424," thin",0.02,0.03,4,-0.02,0.05,3,-0.03,0.03,1,-0.07,0.02,6,0.16,0.22,2,-0.07,0.01,4,-0.08,0.01,3,-0.05,0.02,4,-0.04,0.04,4,-0.07,0.08,1,0.07,0.01,2,0.04,0.02,3,0.02,0.02,14,0.01,0.06,12,0.03,0.01,22,-0.01,0.02,5
612,"   HD16008",134," thin",-0.09,0.04,4,-0.01,0.06,3,0.07,0.08,1,0.05,0.03,6,0.22,0.32,1,0.05,0.02,4,0.1,0.01,3,0.03,0.06,4,0.06,0.06,4,,,0,-0.03,0.01,2,0.02,0.02,3,0.01,0.06,14,0.04,0.06,12,-0.02,0.03,22,-0.02,0.01,5
613,"  HD148577",208," high",0.08,0.03,4,0.16,0.04,3,-0.12,0.04,1,-0.09,0.02,6,,,0,-0.04,0.02,4,-0.04,0.02,3,-0.09,0.04,4,0.04,0.03,4,0.07,0.08,1,0.19,0.02,2,0.13,0.02,3,0.09,0.03,14,0.08,0.07,12,0.12,0.02,22,0.13,0.01,5
614,"  HD210272",146," thin",-0.02,0.03,4,0.03,0.04,3,-0.16,0.06,1,-0.12,0.03,6,0.34,0.1,1,-0.06,0.02,4,-0.03,0.04,3,0.01,0.04,4,0.0,0.01,4,,,0,0.08,0.0,2,0.06,0.04,3,0.04,0.02,14,0.02,0.07,12,0.08,0.03,22,0.08,0.01,5
615,"   HD41248",381," thin",-0.05,0.03,4,-0.02,0.02,3,-0.03,0.03,1,-0.02,0.02,6,0.63,0.1,1,-0.01,0.07,4,0.06,0.02,3,0.01,0.04,4,0.02,0.04,4,0.29,0.1,1,0.03,0.03,2,0.09,0.05,3,0.03,0.04,14,0.06,0.06,12,0.05,0.03,21,0.04,0.02,5
616,"  HD122474",90," thin",0.05,0.03,4,-0.01,0.05,3,-0.08,0.11,1,-0.05,0.11,6,0.32,0.21,1,-0.01,0.05,4,-0.08,0.03,3,-0.01,0.08,4,-0.04,0.05,4,,,0,0.02,0.01,2,-0.01,0.01,3,-0.01,0.04,14,0.0,0.1,12,0.0,0.03,22,-0.04,0.04,5
617,"   HD61383",491,"thick",-0.07,0.06,4,0.09,0.03,3,-0.01,0.02,1,-0.03,0.04,6,,,0,0.09,0.03,4,-0.09,0.03,3,-0.06,0.07,4,0.05,0.04,4,0.33,0.08,1,0.27,0.01,2,0.29,0.05,3,0.23,0.01,14,0.25,0.05,12,0.31,0.03,22,0.3,0.02,5
618,"   HD97998",340," thin",-0.04,0.03,4,0.0,0.02,3,-0.08,0.03,1,-0.06,0.04,6,,,0,0.01,0.02,4,0.03,0.02,3,0.0,0.03,4,0.05,0.03,4,0.07,0.16,1,0.05,0.05,2,0.09,0.04,3,0.02,0.03,14,0.07,0.06,12,0.07,0.03,22,0.04,0.02,5
619,"   HD45289",631," high",0.04,0.04,4,0.09,0.04,3,-0.12,0.02,1,-0.11,0.02,6,-0.06,0.36,1,-0.09,0.01,4,-0.07,0.01,3,-0.07,0.05,4,0.05,0.01,4,0.01,0.05,1,0.13,0.01,2,0.1,0.01,3,0.06,0.01,14,0.06,0.05,12,0.1,0.01,22,0.1,0.02,5
620,"   HD77110",436,"thick",-0.03,0.04,4,0.13,0.03,3,-0.07,0.03,1,-0.11,0.04,6,,,0,0.0,0.05,4,-0.06,0.04,3,-0.08,0.07,4,0.07,0.05,4,0.24,0.11,1,0.18,0.04,2,0.24,0.09,3,0.16,0.02,14,0.16,0.05,12,0.22,0.04,22,0.2,0.03,5
621,"  HD207832",106," thin",-0.02,0.04,4,-0.03,0.05,3,0.05,0.1,1,0.06,0.05,6,0.07,0.12,2,-0.02,0.03,4,-0.01,0.04,3,0.06,0.07,4,-0.14,0.06,4,,,0,-0.01,0.01,2,-0.01,0.0,3,0.0,0.07,14,0.05,0.09,12,0.01,0.05,22,-0.02,0.07,5
622,"   HD26729",149," thin",0.15,0.05,4,0.0,0.03,3,-0.12,0.08,1,-0.07,0.07,6,-0.2,0.22,3,-0.09,0.04,4,-0.12,0.03,3,0.02,0.04,4,-0.03,0.04,4,,,0,0.05,0.01,2,-0.01,0.04,3,0.01,0.04,14,-0.06,0.07,12,0.04,0.04,22,0.01,0.02,5
623,"   HD37962",364," thin",-0.11,0.03,4,-0.04,0.02,3,0.03,0.03,1,0.03,0.03,6,,,0,0.03,0.03,4,0.13,0.04,3,0.11,0.05,4,0.08,0.02,4,0.09,0.11,1,-0.01,0.01,2,-0.01,0.02,3,0.0,0.02,14,0.03,0.06,12,0.04,0.03,22,0.0,0.01,5
624,"    HD2071",468," thin",-0.06,0.02,4,-0.03,0.02,3,0.03,0.02,1,0.0,0.02,6,-0.08,0.2,1,0.0,0.02,4,0.02,0.01,3,-0.02,0.09,4,0.03,0.02,4,0.02,0.09,1,0.01,0.01,2,0.02,0.01,3,0.01,0.01,14,0.02,0.05,12,0.03,0.01,22,0.0,0.01,5
625,"   HD40865",566," thin",-0.04,0.03,4,0.04,0.03,3,-0.12,0.02,1,-0.14,0.03,6,,,0,-0.05,0.03,4,-0.04,0.02,3,-0.03,0.02,4,0.01,0.03,4,0.05,0.09,1,0.1,0.01,2,0.12,0.02,3,0.07,0.02,14,0.09,0.07,12,0.1,0.03,22,0.09,0.01,5
626,"   HD19467",537," high",0.06,0.01,4,0.12,0.03,3,-0.07,0.02,1,-0.09,0.02,6,-0.07,0.1,1,-0.04,0.01,4,-0.06,0.01,3,-0.02,0.05,4,0.04,0.02,4,0.17,0.07,1,0.19,0.01,2,0.19,0.03,3,0.09,0.01,14,0.11,0.05,12,0.14,0.02,22,0.13,0.01,5
627,"   HD17439",239," thin",0.02,0.02,4,0.01,0.04,3,-0.01,0.04,1,-0.02,0.03,6,0.12,0.13,2,0.0,0.02,4,-0.05,0.02,3,0.0,0.06,4,-0.03,0.04,4,-0.08,0.14,1,0.01,0.0,2,0.02,0.03,3,0.0,0.02,14,0.0,0.06,12,0.01,0.01,22,-0.01,0.01,5
628,"  HD59711A",271," thin",-0.05,0.01,4,-0.01,0.02,3,0.0,0.04,1,-0.01,0.03,6,,,0,0.02,0.02,4,0.03,0.01,3,0.05,0.04,4,-0.05,0.03,4,0.09,0.15,1,0.01,0.0,2,0.03,0.03,3,0.01,0.01,14,0.04,0.05,12,0.02,0.02,22,0.01,0.01,5
629,"    HD6718",306," thin",-0.04,0.05,4,0.0,0.03,3,-0.02,0.03,1,-0.02,0.02,6,,,0,-0.02,0.01,4,0.0,0.02,3,0.0,0.01,4,0.02,0.03,4,0.03,0.12,1,0.01,0.0,2,-0.01,0.01,3,-0.01,0.03,14,0.02,0.05,12,0.01,0.01,22,0.0,0.01,5
630,"   HD61986",410," thin",-0.04,0.04,4,0.06,0.04,3,-0.14,0.03,1,-0.14,0.04,6,,,0,-0.06,0.05,4,-0.03,0.02,3,0.01,0.03,4,0.0,0.03,4,-0.09,0.14,1,0.1,0.0,2,0.1,0.03,3,0.05,0.02,14,0.09,0.06,12,0.09,0.02,22,0.07,0.02,5
631,"  HD189567",2006," thin",-0.03,0.03,4,0.05,0.02,3,-0.1,0.02,1,-0.1,0.02,6,,,0,-0.01,0.03,4,0.0,0.01,3,0.02,0.08,4,0.12,0.01,4,0.23,0.02,1,0.1,0.01,2,0.12,0.03,3,0.05,0.01,14,0.08,0.05,12,0.1,0.02,22,0.07,0.01,5
632,"   HD33822",86," thin",0.13,0.03,4,-0.01,0.04,3,-0.15,0.12,1,-0.1,0.08,6,0.15,0.22,2,-0.07,0.04,4,-0.13,0.02,3,-0.07,0.03,4,-0.11,0.14,4,,,0,0.04,0.01,2,0.1,0.19,2,0.01,0.06,13,-0.03,0.05,12,0.0,0.04,22,-0.05,0.03,5
633,"    HD8406",388," thin",-0.09,0.02,4,-0.03,0.03,3,0.07,0.03,1,0.03,0.01,6,0.1,0.21,2,0.04,0.03,4,0.09,0.01,3,0.08,0.03,4,0.1,0.02,4,0.07,0.09,1,-0.03,0.0,2,0.02,0.02,3,-0.01,0.01,14,0.03,0.05,12,0.03,0.02,22,0.01,0.0,5
634,"  HD178904",159," thin",0.08,0.04,4,0.02,0.04,3,-0.09,0.06,1,-0.09,0.03,6,0.26,0.07,1,-0.09,0.04,4,-0.1,0.02,3,-0.07,0.06,4,-0.03,0.04,4,,,0,0.05,0.02,2,0.01,0.01,3,0.0,0.02,14,-0.02,0.05,12,0.02,0.02,22,-0.02,0.02,5
635," BD+083095",103,"thick",-0.35,0.03,2,0.17,0.03,3,0.12,0.11,1,0.13,0.07,6,0.8,0.11,1,0.35,0.1,4,0.12,0.06,3,0.08,0.08,4,0.16,0.06,4,,,0,0.09,0.03,2,0.28,0.05,3,0.23,0.06,14,0.35,0.16,12,0.29,0.09,22,0.27,0.03,5
636,"  HD172568",145," thin",-0.02,0.03,4,0.05,0.03,3,-0.13,0.06,1,-0.09,0.03,6,0.62,0.04,1,0.0,0.03,4,0.0,0.02,3,0.03,0.02,4,0.05,0.07,4,,,0,0.08,0.01,2,0.13,0.14,3,0.04,0.03,14,0.07,0.06,12,0.1,0.03,22,0.04,0.04,5
637,"   HD89454",1159," thin",-0.05,0.01,4,-0.06,0.05,3,0.08,0.02,1,0.04,0.03,6,0.22,0.15,2,-0.01,0.02,4,0.05,0.01,3,0.05,0.03,4,0.01,0.01,4,0.02,0.04,1,-0.02,0.0,2,-0.02,0.01,3,-0.01,0.01,14,0.02,0.05,12,0.02,0.01,22,-0.05,0.03,5
638,"  HD114613",2005," thin",0.08,0.05,4,0.02,0.06,3,-0.11,0.02,1,-0.02,0.06,6,0.23,0.12,2,-0.1,0.01,4,-0.09,0.02,3,-0.08,0.03,4,-0.11,0.02,4,-0.05,0.02,1,0.04,0.01,2,0.0,0.02,3,0.02,0.02,14,0.0,0.05,12,0.0,0.03,22,0.0,0.04,5
