recno,Star,Teff,e_Teff,logg,e_logg,loggHIP,e_loggHIP,[Fe/H],e_[Fe/H],vtur,e_vtur,loggcor,SimbadName,_RA,_DE
898,"HD121504",6022,11.0,4.49,0.03,4.36,0.05,0.14,0.01,1.12,0.01,4.39,"HD121504",209.32183,-56.04004
852,"HD134060",5966,14.0,4.43,0.03,4.38,0.02,0.14,0.01,1.1,0.01,4.34,"HD134060",227.68643,-61.42232
500,"HD133633",5571,19.0,4.48,0.04,4.33,0.1,-0.45,0.01,0.69,0.04,4.49,"HD133633",227.06331,-59.95461
321,"HD137676",5253,18.0,3.93,0.03,3.8,0.06,-0.53,0.01,0.74,0.03,4.02,"HD137676",232.3293,-49.95308
483,"HD128674",5551,15.0,4.5,0.04,4.43,0.03,-0.38,0.01,0.71,0.02,4.52,"HD128674",220.11776,-57.02956
527,"HD123319",5619,22.0,4.56,0.04,4.55,0.1,-0.52,0.02,0.67,0.04,4.56,"HD123319",212.08793,-53.92746
543,"HD126525",5638,13.0,4.37,0.02,4.4,0.05,-0.1,0.01,0.9,0.01,4.36,"HD126525",216.88738,-51.93309
236,"HD127124",5030,56.7,4.4,0.13,4.47,0.11,-0.03,0.03,0.64,0.11,4.55,"HD127124",217.81712,-51.38244
568,"HD136352",5664,14.0,4.39,0.02,,,-0.34,0.01,0.9,0.02,4.38,"HD136352",230.45062,-48.31763
1044,"HD135468",6417,39.0,4.25,0.05,3.97,0.04,-0.02,0.03,1.82,0.05,4.0,"HD135468",229.22903,-46.20236
183,"HD129642",4919,65.0,4.35,0.16,4.47,0.05,-0.09,0.03,0.53,0.19,4.54,"HD129642",221.29058,-49.91628
406,"HD132648",5418,16.0,4.49,0.03,4.5,0.03,-0.37,0.01,0.69,0.04,4.54,"HD132648",225.47194,-47.00747
1001,"HD161566",6230,24.0,4.2,0.04,3.93,0.04,-0.28,0.01,1.67,0.03,4.03,"HD161566",267.60658,-61.92462
556,"HD161256",5652,21.0,4.27,0.03,4.32,0.07,0.14,0.02,0.93,0.02,4.26,"HD161256",267.09254,-60.66072
151,"HD154577",4847,35.0,4.48,0.07,4.58,0.02,-0.73,0.01,0.31,0.19,4.69,"HD154577",257.54313,-60.72877
843,"HD145666",5958,12.0,4.53,0.01,4.5,0.05,-0.04,0.01,1.04,0.01,4.44,"HD145666",243.76733,-56.37454
718,"HD145927",5819,16.0,4.41,0.02,4.5,0.08,-0.03,0.01,0.93,0.02,4.36,"HD145927",244.02675,-52.81455
533,"HD147518",5626,30.0,4.4,0.03,4.34,0.15,-0.63,0.02,0.67,0.06,4.4,"HD147518",246.23483,-51.42895
405,"HD145598",5417,21.0,4.48,0.03,4.45,0.08,-0.78,0.02,0.59,0.06,4.53,"HD145598",243.54138,-50.78487
751,"HD151933",5849,22.0,4.29,0.03,4.41,0.13,-0.21,0.02,1.03,0.03,4.23,"HD151933",253.28382,-51.7179
37,"HD154387",4570,80.7,4.15,0.5,4.65,0.07,-0.28,0.04,0.28,0.41,4.46,"HD154387",256.88081,-48.24832
1054,"HD151772",6631,60.0,4.81,0.08,4.3,0.05,-0.36,0.04,2.27,0.18,4.47,"HD151772",252.97001,-49.11505
1006,"HD148156",6251,25.0,4.51,0.05,4.44,0.06,0.25,0.02,1.36,0.03,4.33,"HD148156",247.07202,-46.31763
692,"HD160691",5780,25.0,4.27,0.04,4.26,0.01,0.3,0.02,1.09,0.02,4.23,"HD160691",266.03625,-51.83405
799,"HD156411",5910,16.0,3.99,0.01,3.85,0.04,-0.11,0.01,1.31,0.01,3.92,"HD156411",259.96417,-48.54932
258,"HD329788",5071,42.8,4.27,0.09,4.66,0.14,-0.12,0.02,0.27,0.17,4.41,"HD329788",259.86713,-44.08593
489,"HD159868",5558,15.0,3.96,0.02,3.85,0.07,-0.08,0.01,1.02,0.01,3.97,"HD159868",264.74803,-43.14551
937,"HD162396",6090,19.0,4.27,0.02,4.11,0.03,-0.35,0.01,1.43,0.03,4.15,"HD162396",268.2191,-41.99652
106,"HD162020",4723,71.0,4.31,0.18,4.59,0.06,-0.1,0.03,0.51,0.28,4.56,"HD162020",267.65982,-40.31835
171,"HD323631",4898,46.0,4.4,0.1,4.54,0.23,-0.32,0.02,0.39,0.14,4.6,"HD323631",262.8978,-40.60363
48,"HD326267",4597,72.5,4.01,0.29,4.69,0.12,-0.26,0.04,0.24,0.34,4.31,"HD326267",252.70414,-43.78687
927,"HD153950",6074,15.0,4.39,0.03,4.24,0.05,-0.01,0.01,1.23,0.01,4.27,"HD153950",256.12863,-43.30977
479,"HD157830",5540,16.0,4.49,0.02,4.51,0.04,-0.25,0.01,0.76,0.03,4.51,"HD157830",261.84148,-38.06145
905,"HD157338",6027,13.0,4.44,0.02,4.38,0.03,-0.08,0.01,1.17,0.01,4.34,"HD157338",261.03643,-34.79845
845,"HD154195A",5961,24.0,4.48,0.04,4.44,0.14,-0.19,0.02,1.01,0.03,4.39,"HD154195",256.34359,-33.77036
1048,"HD156098",6517,44.0,4.2,0.05,3.84,0.03,0.18,0.03,2.06,0.05,3.91,"HD156098",259.26519,-32.66284
841,"HD143638",5954,18.0,4.48,0.01,4.42,0.09,-0.27,0.01,1.04,0.03,4.39,"HD143638",240.97325,-50.94272
203,"HD330075",4958,52.0,4.24,0.13,4.41,0.1,0.05,0.03,0.32,0.22,4.42,"HD330075",237.40705,-49.96352
24,"HD142709",4536,118.0,4.21,0.33,4.6,0.04,-0.31,0.06,0.35,0.54,4.53,"HD142709",239.41977,-42.62423
659,"HD140785",5756,21.0,4.12,0.03,3.99,0.05,-0.05,0.02,1.09,0.02,4.08,"HD140785",236.80359,-42.20473
879,"HD135625",6003,14.0,4.32,0.04,4.21,0.08,0.12,0.01,1.16,0.01,4.22,"HD135625",229.4517,-45.92241
356,"HD134929B",5330,35.0,4.36,0.07,4.22,0.5,0.07,0.03,0.79,0.06,4.43,"HD134929",228.4957,-41.45833
