recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
155,"HD290327",5505.0,4.44,-0.14,8.941,3.633,0.671,2.724,0.107,0.036,"2","jup ","thin ",231.37,"HD290327",80.83985,-2.27762
44,"HD25673",5116.0,4.57,-0.51,7.638,4.748,0.365,2.284,0.135,0.204,"2","none","thin ",280.02,"HD25673",61.08459,-4.65514
488,"HD21977",5930.0,4.37,0.1,2.072,1.633,2.306,3.753,-0.012,0.032,"2","none","thin ",109.89,"HD21977",53.10795,-4.36109
443,"HD22879",5884.0,4.45,-0.82,12.702,0.58,1.37,3.462,0.306,0.083,"2","none","thick",934.03,"HD22879",55.09194,-3.21698
503,"HD23030",5951.0,4.29,0.2,4.273,0.911,3.081,3.976,0.035,0.039,"2","none","thin ",61.0,"HD23030",55.42269,-2.8475
343,"HD27063",5767.0,4.4,0.05,2.178,1.911,2.049,3.267,-0.037,0.026,"2","none","thin ",1013.06,"HD27063",64.12601,-0.5728
69,"HD24633",5276.0,4.45,-0.04,7.565,4.778,1.843,2.525,0.005,0.09,"2","none","hamr ",356.84,"HD24633",58.74206,-1.26325
277,"HD20619",5703.0,4.49,-0.22,4.6,3.466,1.842,2.949,0.046,0.032,"2","none","thin ",697.33,"HD20619",49.75789,-2.84319
682,"HD19994",6289.0,4.28,0.24,2.189,0.35,8.326,5.247,-0.033,0.041,"2","jup ","thin ",2001.86,"HD19994",48.19349,-1.1961
217,"HD108768",5633.0,4.45,0.14,2.324,2.135,1.54,2.896,-0.014,0.036,"2","none","thin ",137.08,"HD108768",187.48118,-26.42055
147,"HD100289",5483.0,4.45,0.03,6.004,4.183,1.035,2.678,0.085,0.046,"2","none","thin ",153.31,"HD100289",173.06016,-31.38292
180,"HD102438",5560.0,4.42,-0.29,9.935,2.974,1.382,2.839,0.033,0.051,"2","none","thin ",1308.12,"HD102438",176.81587,-30.28651
676,"HD101612",6281.0,4.22,-0.36,4.694,1.272,1.382,5.332,0.108,0.041,"2","none","thin ",111.37,"HD101612",175.34366,-26.66719
271,"HD104982",5692.0,4.42,-0.19,8.023,3.254,1.541,3.066,-0.02,0.038,"2","none","thin ",409.43,"HD104982",181.30587,-28.71723
